days
pon	uto	sre	cet	pet

hours
1	2	3	4	5	6	7

people
51,52,53,54	stebru	ver.v	1
61,62,63	stebru	ver.v	1
71,72,73	stebru	ver.v	1
81	stebru	ver.v	1
82,83	stebru	ver.v	1
51,52,53,54	bosla	hor.v	1
61,62,63	bosla	hor.v	1
71,72,73	bosla	hor.v	1
81,82,83	bosla	hor.v	1
61,62,63	nnlik	csv.v	1
71	nnlik	csv.v	1
72	nnlik	csv.v	1
73	nnlik	csv.v	1
81,82,83	nnlik	csv.v	1
51,54	anpo	cp.v	1
52,53	anpo	cp.v	1
51,52	nnlik	csv.v	1
53,54	nnlik	csv.v	1
61	muje	cp.v	1

same_time
busne_81_fra.p.1'	trina_81_rus.p.1'
busne_81_fra.p.2'	trina_81_rus.p.2'
busne_82_fra.p.1'	trina_82_rus.p.1'
busne_82_fra.p.2'	trina_82_rus.p.2'
busne_51_fra.p.1'	trina_51_rus.p.1'
busne_51_fra.p.2'	trina_51_rus.p.2'
busne_53_fra.p.1'	trina_53_rus.p.1'
busne_53_fra.p.2'	trina_53_rus.p.2'
rada_51_fzc.v.1'	steda_52_fzc.v.1'
rada_51_fzc.v.2'	steda_52_fzc.v.2'
rada_51_fzc.v.3'	steda_52_fzc.v.3'
rada_61_fzc.v.1'	steda_62_fzc.v.1'
rada_61_fzc.v.2'	steda_62_fzc.v.2'
rada_61_fzc.v.3'	steda_62_fzc.v.3'
rada_71_fzc.v.1'	steda_72_fzc.v.1'
rada_71_fzc.v.2'	steda_72_fzc.v.2'
rada_71_fzc.v.3'	steda_72_fzc.v.3'
rada_81_fzc.v.1'	steda_82_fzc.v.1'
rada_81_fzc.v.2'	steda_82_fzc.v.2'
rada_81_fzc.v.3'	steda_82_fzc.v.3'

distinct
anka_71_inf.v.1'	nninf
anka_73_inf.v.1'	nninf

additional
// francuski i ruski idu kao prvi ili poslednji cas
trina_61_rus.p.1'_pon_1 trina_61_rus.p.1'_uto_1 trina_61_rus.p.1'_sre_1 trina_61_rus.p.1'_cet_1 trina_61_rus.p.1'_pet_1 trina_61_rus.p.1'_pon_7 trina_61_rus.p.1'_uto_7 trina_61_rus.p.1'_sre_7 trina_61_rus.p.1'_cet_7 trina_61_rus.p.1'_pet_7
trina_61_rus.p.2'_pon_1 trina_61_rus.p.2'_uto_1 trina_61_rus.p.2'_sre_1 trina_61_rus.p.2'_cet_1 trina_61_rus.p.2'_pet_1 trina_61_rus.p.2'_pon_7 trina_61_rus.p.2'_uto_7 trina_61_rus.p.2'_sre_7 trina_61_rus.p.2'_cet_7 trina_61_rus.p.2'_pet_7
trina_71_rus.p.1'_pon_1 trina_71_rus.p.1'_uto_1 trina_71_rus.p.1'_sre_1 trina_71_rus.p.1'_cet_1 trina_71_rus.p.1'_pet_1 trina_71_rus.p.1'_pon_7 trina_71_rus.p.1'_uto_7 trina_71_rus.p.1'_sre_7 trina_71_rus.p.1'_cet_7 trina_71_rus.p.1'_pet_7
trina_71_rus.p.2'_pon_1 trina_71_rus.p.2'_uto_1 trina_71_rus.p.2'_sre_1 trina_71_rus.p.2'_cet_1 trina_71_rus.p.2'_pet_1 trina_71_rus.p.2'_pon_7 trina_71_rus.p.2'_uto_7 trina_71_rus.p.2'_sre_7 trina_71_rus.p.2'_cet_7 trina_71_rus.p.2'_pet_7
busne_61_fra.p.1'_pon_1 busne_61_fra.p.1'_uto_1 busne_61_fra.p.1'_sre_1 busne_61_fra.p.1'_cet_1 busne_61_fra.p.1'_pet_1 busne_61_fra.p.1'_pon_7 busne_61_fra.p.1'_uto_7 busne_61_fra.p.1'_sre_7 busne_61_fra.p.1'_cet_7 busne_61_fra.p.1'_pet_7
busne_61_fra.p.2'_pon_1 busne_61_fra.p.2'_uto_1 busne_61_fra.p.2'_sre_1 busne_61_fra.p.2'_cet_1 busne_61_fra.p.2'_pet_1 busne_61_fra.p.2'_pon_7 busne_61_fra.p.2'_uto_7 busne_61_fra.p.2'_sre_7 busne_61_fra.p.2'_cet_7 busne_61_fra.p.2'_pet_7
// busne_71_fra.p.1'_pon_1 busne_71_fra.p.1'_uto_1 busne_71_fra.p.1'_sre_1 busne_71_fra.p.1'_cet_1 busne_71_fra.p.1'_pet_1 busne_71_fra.p.1'_pon_7 busne_71_fra.p.1'_uto_7 busne_71_fra.p.1'_sre_7 busne_71_fra.p.1'_cet_7 busne_71_fra.p.1'_pet_7
// busne_71_fra.p.2'_pon_1 busne_71_fra.p.2'_uto_1 busne_71_fra.p.2'_sre_1 busne_71_fra.p.2'_cet_1 busne_71_fra.p.2'_pet_1 busne_71_fra.p.2'_pon_7 busne_71_fra.p.2'_uto_7 busne_71_fra.p.2'_sre_7 busne_71_ fra.p.2'_cet_7 busne_71_fra.p.2'_pet_7
// veronauka
-stebru_71_ver.v.1'_pon_7 -trina_71_rus.p.1'_pon_1 // ako 71 ima veronauku 7 cas, prvi cas ne sme da bude ruski ni gradjansko
-stebru_71_ver.v.1'_pon_7 -knemi_71_gra.v.1'_pon_1
-stebru_81_ver.v.1'_pet_7 -knemi_81_gra.v.1'_pet_1 // ako 81 ima veronauku 7 cas, prvi cas ne sme da bude gradjansko
-stebru_6
stebru_51_ver.v.1'_pon_1 stebru_51_ver.v.1'_uto_1 stebru_51_ver.v.1'_sre_1 stebru_51_ver.v.1'_cet_1 stebru_51_ver.v.1'_pet_1 stebru_51_ver.v.1'_pon_7 stebru_51_ver.v.1'_uto_7 stebru_51_ver.v.1'_sre_7 stebru_51_ver.v.1'_cet_7 stebru_51_ver.v.1'_pet_7 stebru_51_ver.v.1'_pon_2 stebru_51_ver.v.1'_uto_2 stebru_51_ver.v.1'_sre_2 stebru_51_ver.v.1'_cet_2 stebru_51_ver.v.1'_pet_2 stebru_51_ver.v.1'_pon_6 stebru_51_ver.v.1'_uto_6 stebru_51_ver.v.1'_sre_6 stebru_51_ver.v.1'_cet_6 stebru_51_ver.v.1'_pet_6
-stebru_51_ver.v.1'_pon_2 -51_pon_1
-stebru_51_ver.v.1'_uto_2 -51_uto_1
-stebru_51_ver.v.1'_sre_2 -51_sre_1
-stebru_51_ver.v.1'_cet_2 -51_cet_1
-stebru_51_ver.v.1'_pet_2 -51_pet_1
-stebru_52_ver.v.1'_pon_2 -52_pon_1
-stebru_52_ver.v.1'_uto_2 -52_uto_1
-stebru_52_ver.v.1'_sre_2 -52_sre_1
-stebru_52_ver.v.1'_cet_2 -52_cet_1
-stebru_52_ver.v.1'_pet_2 -52_pet_1
-stebru_53_ver.v.1'_pon_2 -53_pon_1
-stebru_53_ver.v.1'_uto_2 -53_uto_1
-stebru_53_ver.v.1'_sre_2 -53_sre_1
-stebru_53_ver.v.1'_cet_2 -53_cet_1
-stebru_53_ver.v.1'_pet_2 -53_pet_1
-stebru_54_ver.v.1'_pon_2 -54_pon_1
-stebru_54_ver.v.1'_uto_2 -54_uto_1
-stebru_54_ver.v.1'_sre_2 -54_sre_1
-stebru_54_ver.v.1'_cet_2 -54_cet_1
-stebru_54_ver.v.1'_pet_2 -54_pet_1
-stebru_51_ver.v.1'_pon_6 -51_pon_7
-stebru_51_ver.v.1'_uto_6 -51_uto_7
-stebru_51_ver.v.1'_sre_6 -51_sre_7
-stebru_51_ver.v.1'_cet_6 -51_cet_7
-stebru_51_ver.v.1'_pet_6 -51_pet_7
-stebru_52_ver.v.1'_pon_6 -52_pon_7
-stebru_52_ver.v.1'_uto_6 -52_uto_7
-stebru_52_ver.v.1'_sre_6 -52_sre_7
-stebru_52_ver.v.1'_cet_6 -52_cet_7
-stebru_52_ver.v.1'_pet_6 -52_pet_7
-stebru_53_ver.v.1'_pon_6 -53_pon_7
-stebru_53_ver.v.1'_uto_6 -53_uto_7
-stebru_53_ver.v.1'_sre_6 -53_sre_7
-stebru_53_ver.v.1'_cet_6 -53_cet_7
-stebru_53_ver.v.1'_pet_6 -53_pet_7
-stebru_54_ver.v.1'_pon_6 -54_pon_7
-stebru_54_ver.v.1'_uto_6 -54_uto_7
-stebru_54_ver.v.1'_sre_6 -54_sre_7
-stebru_54_ver.v.1'_cet_6 -54_cet_7
-stebru_54_ver.v.1'_pet_6 -54_pet_7
stebru_61_ver.v.1'_pon_1 stebru_61_ver.v.1'_uto_1 stebru_61_ver.v.1'_sre_1 stebru_61_ver.v.1'_cet_1 stebru_61_ver.v.1'_pet_1 stebru_61_ver.v.1'_pon_7 stebru_61_ver.v.1'_uto_7 stebru_61_ver.v.1'_sre_7 stebru_61_ver.v.1'_cet_7 stebru_61_ver.v.1'_pet_7 stebru_61_ver.v.1'_pon_2 stebru_61_ver.v.1'_uto_2 stebru_61_ver.v.1'_sre_2 stebru_61_ver.v.1'_cet_2 stebru_61_ver.v.1'_pet_2 stebru_61_ver.v.1'_pon_6 stebru_61_ver.v.1'_uto_6 stebru_61_ver.v.1'_sre_6 stebru_61_ver.v.1'_cet_6 stebru_61_ver.v.1'_pet_6
-stebru_61_ver.v.1'_pon_2 -61_pon_1
-stebru_61_ver.v.1'_uto_2 -61_uto_1
-stebru_61_ver.v.1'_sre_2 -61_sre_1
-stebru_61_ver.v.1'_cet_2 -61_cet_1
-stebru_61_ver.v.1'_pet_2 -61_pet_1
-stebru_62_ver.v.1'_pon_2 -62_pon_1
-stebru_62_ver.v.1'_uto_2 -62_uto_1
-stebru_62_ver.v.1'_sre_2 -62_sre_1
-stebru_62_ver.v.1'_cet_2 -62_cet_1
-stebru_62_ver.v.1'_pet_2 -62_pet_1
-stebru_63_ver.v.1'_pon_2 -63_pon_1
-stebru_63_ver.v.1'_uto_2 -63_uto_1
-stebru_63_ver.v.1'_sre_2 -63_sre_1
-stebru_63_ver.v.1'_cet_2 -63_cet_1
-stebru_63_ver.v.1'_pet_2 -63_pet_1
-stebru_61_ver.v.1'_pon_6 -61_pon_7
-stebru_61_ver.v.1'_uto_6 -61_uto_7
-stebru_61_ver.v.1'_sre_6 -61_sre_7
-stebru_61_ver.v.1'_cet_6 -61_cet_7
-stebru_61_ver.v.1'_pet_6 -61_pet_7
-stebru_62_ver.v.1'_pon_6 -62_pon_7
-stebru_62_ver.v.1'_uto_6 -62_uto_7
-stebru_62_ver.v.1'_sre_6 -62_sre_7
-stebru_62_ver.v.1'_cet_6 -62_cet_7
-stebru_62_ver.v.1'_pet_6 -62_pet_7
-stebru_63_ver.v.1'_pon_6 -63_pon_7
-stebru_63_ver.v.1'_uto_6 -63_uto_7
-stebru_63_ver.v.1'_sre_6 -63_sre_7
-stebru_63_ver.v.1'_cet_6 -63_cet_7
-stebru_63_ver.v.1'_pet_6 -63_pet_7
stebru_71_ver.v.1'_pon_1 stebru_71_ver.v.1'_uto_1 stebru_71_ver.v.1'_sre_1 stebru_71_ver.v.1'_cet_1 stebru_71_ver.v.1'_pet_1 stebru_71_ver.v.1'_pon_7 stebru_71_ver.v.1'_uto_7 stebru_71_ver.v.1'_sre_7 stebru_71_ver.v.1'_cet_7 stebru_71_ver.v.1'_pet_7 stebru_71_ver.v.1'_pon_2 stebru_71_ver.v.1'_uto_2 stebru_71_ver.v.1'_sre_2 stebru_71_ver.v.1'_cet_2 stebru_71_ver.v.1'_pet_2 stebru_71_ver.v.1'_pon_6 stebru_71_ver.v.1'_uto_6 stebru_71_ver.v.1'_sre_6 stebru_71_ver.v.1'_cet_6 stebru_71_ver.v.1'_pet_6
-stebru_71_ver.v.1'_pon_2 -71_pon_1
-stebru_71_ver.v.1'_uto_2 -71_uto_1
-stebru_71_ver.v.1'_sre_2 -71_sre_1
-stebru_71_ver.v.1'_cet_2 -71_cet_1
-stebru_71_ver.v.1'_pet_2 -71_pet_1
-stebru_72_ver.v.1'_pon_2 -72_pon_1
-stebru_72_ver.v.1'_uto_2 -72_uto_1
-stebru_72_ver.v.1'_sre_2 -72_sre_1
-stebru_72_ver.v.1'_cet_2 -72_cet_1
-stebru_72_ver.v.1'_pet_2 -72_pet_1
-stebru_73_ver.v.1'_pon_2 -73_pon_1
-stebru_73_ver.v.1'_uto_2 -73_uto_1
-stebru_73_ver.v.1'_sre_2 -73_sre_1
-stebru_73_ver.v.1'_cet_2 -73_cet_1
-stebru_73_ver.v.1'_pet_2 -73_pet_1
-stebru_71_ver.v.1'_pon_6 -71_pon_7
-stebru_71_ver.v.1'_uto_6 -71_uto_7
-stebru_71_ver.v.1'_sre_6 -71_sre_7
-stebru_71_ver.v.1'_cet_6 -71_cet_7
-stebru_71_ver.v.1'_pet_6 -71_pet_7
-stebru_72_ver.v.1'_pon_6 -72_pon_7
-stebru_72_ver.v.1'_uto_6 -72_uto_7
-stebru_72_ver.v.1'_sre_6 -72_sre_7
-stebru_72_ver.v.1'_cet_6 -72_cet_7
-stebru_72_ver.v.1'_pet_6 -72_pet_7
-stebru_73_ver.v.1'_pon_6 -73_pon_7
-stebru_73_ver.v.1'_uto_6 -73_uto_7
-stebru_73_ver.v.1'_sre_6 -73_sre_7
-stebru_73_ver.v.1'_cet_6 -73_cet_7
-stebru_73_ver.v.1'_pet_6 -73_pet_7
stebru_81_ver.v.1'_pon_1 stebru_81_ver.v.1'_uto_1 stebru_81_ver.v.1'_sre_1 stebru_81_ver.v.1'_cet_1 stebru_81_ver.v.1'_pet_1 stebru_81_ver.v.1'_pon_7 stebru_81_ver.v.1'_uto_7 stebru_81_ver.v.1'_sre_7 stebru_81_ver.v.1'_cet_7 stebru_81_ver.v.1'_pet_7 stebru_81_ver.v.1'_pon_2 stebru_81_ver.v.1'_uto_2 stebru_81_ver.v.1'_sre_2 stebru_81_ver.v.1'_cet_2 stebru_81_ver.v.1'_pet_2 stebru_81_ver.v.1'_pon_6 stebru_81_ver.v.1'_uto_6 stebru_81_ver.v.1'_sre_6 stebru_81_ver.v.1'_cet_6 stebru_81_ver.v.1'_pet_6
stebru_82_ver.v.1'_pon_1 stebru_82_ver.v.1'_uto_1 stebru_82_ver.v.1'_sre_1 stebru_82_ver.v.1'_cet_1 stebru_82_ver.v.1'_pet_1 stebru_82_ver.v.1'_pon_7 stebru_82_ver.v.1'_uto_7 stebru_82_ver.v.1'_sre_7 stebru_82_ver.v.1'_cet_7 stebru_82_ver.v.1'_pet_7 stebru_82_ver.v.1'_pon_2 stebru_82_ver.v.1'_uto_2 stebru_82_ver.v.1'_sre_2 stebru_82_ver.v.1'_cet_2 stebru_82_ver.v.1'_pet_2 stebru_82_ver.v.1'_pon_6 stebru_82_ver.v.1'_uto_6 stebru_82_ver.v.1'_sre_6 stebru_82_ver.v.1'_cet_6 stebru_82_ver.v.1'_pet_6
-stebru_81_ver.v.1'_pon_2 -81_pon_1
-stebru_81_ver.v.1'_uto_2 -81_uto_1
-stebru_81_ver.v.1'_sre_2 -81_sre_1
-stebru_81_ver.v.1'_cet_2 -81_cet_1
-stebru_81_ver.v.1'_pet_2 -81_pet_1
-stebru_82_ver.v.1'_pon_2 -82_pon_1
-stebru_82_ver.v.1'_uto_2 -82_uto_1
-stebru_82_ver.v.1'_sre_2 -82_sre_1
-stebru_82_ver.v.1'_cet_2 -82_cet_1
-stebru_82_ver.v.1'_pet_2 -82_pet_1
-stebru_83_ver.v.1'_pon_2 -83_pon_1
-stebru_83_ver.v.1'_uto_2 -83_uto_1
